id,name,unit_cost,remaining_qty,is_active,daily_stock_take
1778,PEANUT BUTTER COOKIES,1.92,15.00,true,false
2018,PEANUT BUTTER COOKIES,1.92,15.00,true,false
1538,PECAN NUTS,1.92,15.00,true,false
1539,PECTIN,1.92,15.00,true,false
1540,PEELER,1.92,15.00,true,false
2104,PEPPER GRINDER,1.92,15.00,true,false
2105,PEPPERCORNS,1.92,15.00,true,false
2106,PINE GEL,1.92,15.00,true,false
1541,PINEAPPLE FLAVOUR,1.92,15.00,true,false
1542,PINK COLOUR,1.92,15.00,true,false
1543,PINK PEARLS,1.92,15.00,true,false
1544,PIPPING BAGS,1.92,15.00,true,false
1545,PIPPING BAGS BOX,1.92,15.00,true,false
1546,PISTACHIO,1.92,15.00,true,false
1547,PISTACHIO PASTE,1.92,15.00,true,false
1920,PITA BREAD,1.92,15.00,false,false
1733,PITA BREAD,1.92,15.00,true,false
2107,PIZZA PLATES,1.92,15.00,true,false
2108,PIZZZ SHOVEL,1.92,15.00,true,false
1691,PLAIN CROSSAINTS,1.92,15.00,true,false
2224,PLAIN CROSSAINTS,1.92,15.00,true,false
1548,PLASTIC BUCKETS,1.92,15.00,true,false
1549,PLASTIC CONTAINERS,1.92,15.00,true,false
1550,PLASTIC CUUTARE,1.92,15.00,true,false
1551,PLASTIC DISH BIG,1.92,15.00,true,false
1552,PLASTIC DISHES,1.92,15.00,true,false
2109,PLASTIC FORKS,1.92,15.00,true,false
2110,PLASTIC KNIVES,1.92,15.00,true,false
1553,PLASTIC SPOON,1.92,15.00,true,false
2111,PLASTIC SPOONS,1.92,15.00,true,false
1554,PLASTIC TRAYS,1.92,15.00,true,false
1555,PLASTICS,1.92,15.00,true,false
2112,PLATES,1.92,15.00,true,false
2113,PLATTERS WHITE,1.92,15.00,true,false
2114,PLUG INDUSTRIAL,1.92,15.00,true,false
1727,POOLISH,1.92,15.00,true,false
2260,POOLISH,1.92,15.00,true,false
1556,POPPY SEEDS,1.92,15.00,true,false
2115,PORTA FILTER,1.92,15.00,true,false
1557,POT,1.92,15.00,true,false
2116,POTATOES,1.92,15.00,true,false
1558,PRALINE,1.92,15.00,true,false
2117,PRAWNS,1.92,15.00,true,false
1946,PROFITEROLES,1.92,15.00,true,false
1742,PROFITEROLES,1.92,15.00,true,false
1743,PROFITEROLES WITH CHOCOLATE PASTRY CREAM,1.92,15.00,true,false
1948,PROFITEROLES WITH CHOCOLATE PASTRY CREAM,1.92,15.00,true,false
1559,PROOVER,1.92,15.00,true,false
1930,PUFF PASTRY,1.92,15.00,true,false
1737,PUFF PASTRY,1.92,15.00,true,false
1560,PUFF PASTRY SHEETER TRAY,1.92,15.00,true,false
1561,PUMPKIN SEEDS,1.92,15.00,true,false
1562,PVC ROLL,1.92,15.00,true,false
1563,RACHA,1.92,15.00,true,false
1564,RACK SMALL STANDING,1.92,15.00,true,false
1565,RAISINS,1.92,15.00,true,false
1566,RASPBERRY FLAVOUR,1.92,15.00,true,false
1567,RECTANGULAR 7.5 CM,1.92,15.00,true,false
1568,RECTANGULAR BIN CONTAINER,1.92,15.00,true,false
1569,RECTANGULAR BLACK MOULD,1.92,15.00,true,false
1570,RECTANGULAR INOX 200,1.92,15.00,true,false
1571,RECTANGULAR MOULD,1.92,15.00,true,false
2118,RED CHILLIES,1.92,15.00,true,false
1572,RED COLOUR,1.92,15.00,true,false
2119,RED COLOURING,1.92,15.00,true,false
2120,RED PEPEPRS,1.92,15.00,true,false
1573,RED TAIL,1.92,15.00,true,false
2121,REFRESHER TOWELS,1.92,15.00,true,false
2122,RICE,1.92,15.00,true,false
1574,RICE FLOUR,1.92,15.00,true,false
2123,RICE NOODLES,1.92,15.00,true,false
2124,RICE STAFF,1.92,15.00,true,false
1575,RING 8 CM PASTRY PRESS,1.92,15.00,true,false
1576,RING CUTTER BLUE TOP,1.92,15.00,true,false
1577,RING FLAT  22.5 CM,1.92,15.00,true,false
1578,RING HIGH 110 CM,1.92,15.00,true,false
1579,RING HIGH 27 CM,1.92,15.00,true,false
1580,RING HIGH 5.5 CM,1.92,15.00,true,false
1581,RING HIGH 8 CM,1.92,15.00,true,false
1582,RING PLASTIC BLACK 8 CM,1.92,15.00,true,false
1583,RING ROUND 11 CM,1.92,15.00,true,false
1584,RING ROUND 16.2 CM,1.92,15.00,true,false
1585,RING ROUND 18.5 CM,1.92,15.00,true,false
1586,RING ROUND 22 CM,1.92,15.00,true,false
1587,RING TART BIG28 CM,1.92,15.00,true,false
1588,RING THIN 8 CM,1.92,15.00,true,false
1589,RINGS 8CM,1.92,15.00,true,false
1590,ROLLING PAPER,1.92,15.00,true,false
1591,ROLLING PINS,1.92,15.00,true,false
2259,ROLLS,1.92,15.00,true,false
1726,ROLLS,1.92,15.00,true,false
2125,ROSEMARY,1.92,15.00,true,false
1592,ROUND BASKET,1.92,15.00,true,false
1593,ROUND CUTTER,1.92,15.00,true,false
1594,ROUND SMALL,1.92,15.00,true,false
2126,ROUND SMALL CAKE BOARDS,1.92,15.00,true,false
1595,ROUND THIN MOULD,1.92,15.00,true,false
1596,ROUND TIN SILICON,1.92,15.00,true,false
1597,ROUNDED RECTANGULAR MOULD,1.92,15.00,true,false
1598,RULER,1.92,15.00,true,false
1599,RUM FLAVOUR,1.92,15.00,true,false
